,TFIDF,username
punya,0.01812796373946803,radenrauf
posesif,0.01812796373946803,radenrauf
seenaknya,0.01812796373946803,radenrauf
segera,0.01812796373946803,radenrauf
sejauh,0.01812796373946803,radenrauf
selain,0.01812796373946803,radenrauf
sininya,0.01812796373946803,radenrauf
sini,0.01812796373946803,radenrauf
silakaan,0.01812796373946803,radenrauf
sih,0.01812796373946803,radenrauf
sibuk,0.01812796373946803,radenrauf
sianjir,0.01812796373946803,radenrauf
setelah,0.01812796373946803,radenrauf
sering,0.01812796373946803,radenrauf
seperti,0.01812796373946803,radenrauf
senyumin,0.01812796373946803,radenrauf
seninselamat,0.01812796373946803,radenrauf
semua,0.01812796373946803,radenrauf
semangat,0.01812796373946803,radenrauf
selamaaat,0.01812796373946803,radenrauf
selalu,0.01812796373946803,radenrauf
ngebantu,0.01812796373946803,radenrauf
masalahnya,0.01812796373946803,radenrauf
ngadepin,0.01812796373946803,radenrauf
denganku,0.01812796373946803,radenrauf
dikatain,0.01812796373946803,radenrauf
dijangkau,0.01812796373946803,radenrauf
dihargai,0.01812796373946803,radenrauf
diganti,0.01812796373946803,radenrauf
digangguin,0.01812796373946803,radenrauf
diem,0.01812796373946803,radenrauf
dibaikin,0.01812796373946803,radenrauf
diajak,0.01812796373946803,radenrauf
deketin,0.01812796373946803,radenrauf
cantiiikkkk,0.01812796373946803,radenrauf
datang,0.01812796373946803,radenrauf
dari,0.01812796373946803,radenrauf
dah,0.01812796373946803,radenrauf
ceria,0.01812796373946803,radenrauf
carbon,0.01812796373946803,radenrauf
caranya,0.01812796373946803,radenrauf
caption,0.01812796373946803,radenrauf
cape,0.01812796373946803,radenrauf
dimanfaatin,0.01812796373946803,radenrauf
dimulai,0.01812796373946803,radenrauf
disakitin,0.01812796373946803,radenrauf
ditanggapi,0.01812796373946803,radenrauf
grab,0.01812796373946803,radenrauf
gitu,0.01812796373946803,radenrauf
gih,0.01812796373946803,radenrauf
ganggu,0.01812796373946803,radenrauf
gamau,0.01812796373946803,radenrauf
foto,0.01812796373946803,radenrauf
film,0.01812796373946803,radenrauf
feed,0.01812796373946803,radenrauf
fancy,0.01812796373946803,radenrauf
dukung,0.01812796373946803,radenrauf
duit,0.01812796373946803,radenrauf
duduk,0.01812796373946803,radenrauf
drama,0.01812796373946803,radenrauf
dong,0.01812796373946803,radenrauf
doanya,0.01812796373946803,radenrauf
do,0.01812796373946803,radenrauf
dites,0.01812796373946803,radenrauf
cantikkkk,0.01812796373946803,radenrauf
bucin,0.01812796373946803,radenrauf
next,0.01812796373946803,radenrauf
ardi,0.01812796373946803,radenrauf
bara,0.01812796373946803,radenrauf
banyaaak,0.01812796373946803,radenrauf
bangun,0.01812796373946803,radenrauf
balap,0.01812796373946803,radenrauf
bahwa,0.01812796373946803,radenrauf
bahayanya,0.01812796373946803,radenrauf
attitude,0.01812796373946803,radenrauf
atau,0.01812796373946803,radenrauf
anjir,0.01812796373946803,radenrauf
bodoamat,0.01812796373946803,radenrauf
amp,0.01812796373946803,radenrauf
akhirnya,0.01812796373946803,radenrauf
ahli,0.01812796373946803,radenrauf
agar,0.01812796373946803,radenrauf
ae,0.01812796373946803,radenrauf
admin,0.01812796373946803,radenrauf
adalah,0.01812796373946803,radenrauf
abis,0.01812796373946803,radenrauf
bareng,0.01812796373946803,radenrauf
barokah,0.01812796373946803,radenrauf
baru,0.01812796373946803,radenrauf
begitu,0.01812796373946803,radenrauf
blockan,0.01812796373946803,radenrauf
bismillahirrohmanirrohim,0.01812796373946803,radenrauf
bismillah,0.01812796373946803,radenrauf
bingung,0.01812796373946803,radenrauf
bilangnya,0.01812796373946803,radenrauf
bicara,0.01812796373946803,radenrauf
besok,0.01812796373946803,radenrauf
bertahan,0.01812796373946803,radenrauf
bersin,0.01812796373946803,radenrauf
bersemangat,0.01812796373946803,radenrauf
berjuang,0.01812796373946803,radenrauf
berinteraksi,0.01812796373946803,radenrauf
berharap,0.01812796373946803,radenrauf
berhak,0.01812796373946803,radenrauf
berbuat,0.01812796373946803,radenrauf
berantem,0.01812796373946803,radenrauf
belakang,0.01812796373946803,radenrauf
grabcar,0.01812796373946803,radenrauf
grabfood,0.01812796373946803,radenrauf
gue,0.01812796373946803,radenrauf
malem,0.01812796373946803,radenrauf
memang,0.01812796373946803,radenrauf
meluncur,0.01812796373946803,radenrauf
mati,0.01812796373946803,radenrauf
masukin,0.01812796373946803,radenrauf
abang,0.01812796373946803,radenrauf
mantepp,0.01812796373946803,radenrauf
manfaatin,0.01812796373946803,radenrauf
males,0.01812796373946803,radenrauf
makin,0.01812796373946803,radenrauf
hadeh,0.01812796373946803,radenrauf
maju,0.01812796373946803,radenrauf
magic,0.01812796373946803,radenrauf
lucu,0.01812796373946803,radenrauf
luck,0.01812796373946803,radenrauf
luar,0.01812796373946803,radenrauf
lovestory,0.01812796373946803,radenrauf
love,0.01812796373946803,radenrauf
looking,0.01812796373946803,radenrauf
memilih,0.01812796373946803,radenrauf
mendekat,0.01812796373946803,radenrauf
mending,0.01812796373946803,radenrauf
mengekang,0.01812796373946803,radenrauf
negatif,0.01812796373946803,radenrauf
ndiffuser,0.01812796373946803,radenrauf
ndear,0.01812796373946803,radenrauf
ncoba,0.01812796373946803,radenrauf
nbismillah,0.01812796373946803,radenrauf
nbiro,0.01812796373946803,radenrauf
nayo,0.01812796373946803,radenrauf
namanya,0.01812796373946803,radenrauf
mundur,0.01812796373946803,radenrauf
minggu,0.01812796373946803,radenrauf
minder,0.01812796373946803,radenrauf
min,0.01812796373946803,radenrauf
merendahkan,0.01812796373946803,radenrauf
meremehkan,0.01812796373946803,radenrauf
merasa,0.01812796373946803,radenrauf
menjalin,0.01812796373946803,radenrauf
menggemaskan,0.01812796373946803,radenrauf
linknya,0.01812796373946803,radenrauf
lho,0.01812796373946803,radenrauf
lha,0.01812796373946803,radenrauf
kaka,0.01812796373946803,radenrauf
jujur,0.01812796373946803,radenrauf
jual,0.01812796373946803,radenrauf
jepang,0.01812796373946803,radenrauf
jawabin,0.01812796373946803,radenrauf
jauh,0.01812796373946803,radenrauf
jatuh,0.01812796373946803,radenrauf
istri,0.01812796373946803,radenrauf
istilah,0.01812796373946803,radenrauf
issom,0.01812796373946803,radenrauf
ingin,0.01812796373946803,radenrauf
idolaa,0.01812796373946803,radenrauf
hubungan,0.01812796373946803,radenrauf
hidup,0.01812796373946803,radenrauf
hey,0.01812796373946803,radenrauf
hatinya,0.01812796373946803,radenrauf
hanya,0.01812796373946803,radenrauf
hal,0.01812796373946803,radenrauf
jumat,0.01812796373946803,radenrauf
kalau,0.01812796373946803,radenrauf
lewat,0.01812796373946803,radenrauf
kali,0.01812796373946803,radenrauf
lele,0.01812796373946803,radenrauf
lekas,0.01812796373946803,radenrauf
lanjut,0.01812796373946803,radenrauf
langgeng,0.01812796373946803,radenrauf
lancar,0.01812796373946803,radenrauf
lan,0.01812796373946803,radenrauf
lah,0.01812796373946803,radenrauf
kucing,0.01812796373946803,radenrauf
kokooh,0.01812796373946803,radenrauf
kita,0.01812796373946803,radenrauf
ketulusan,0.01812796373946803,radenrauf
ketemu,0.01812796373946803,radenrauf
kelamaan,0.01812796373946803,radenrauf
kek,0.01812796373946803,radenrauf
keadaan,0.01812796373946803,radenrauf
kaum,0.01812796373946803,radenrauf
kang,0.01812796373946803,radenrauf
your,0.01812796373946803,radenrauf
,TFIDF,username
xf,0.7603329558917518,kaesangp
saya,0.3670572890511905,kaesangp
gak,0.22285621120965138,kaesangp
yang,0.14420107784153913,kaesangp
antm,0.13109188894685375,kaesangp
xbd,0.09176432226279763,kaesangp
naik,0.09176432226279763,kaesangp
pgas,0.07865513336811225,kaesangp
itu,0.07865513336811225,kaesangp
ada,0.06554594447342688,kaesangp
pisang,0.06554594447342688,kaesangp
on,0.06554594447342688,kaesangp
dan,0.06554594447342688,kaesangp
buat,0.06554594447342688,kaesangp
juga,0.06554594447342688,kaesangp
investor,0.06554594447342688,kaesangp
hold,0.06554594447342688,kaesangp
sangmology,0.06554594447342688,kaesangp
bisa,0.06554594447342688,kaesangp
ya,0.06554594447342688,kaesangp
lokal,0.0524367555787415,kaesangp
mantap,0.0524367555787415,kaesangp
sih,0.0524367555787415,kaesangp
masih,0.0524367555787415,kaesangp
di,0.0524367555787415,kaesangp
mau,0.039327566684056126,kaesangp
untuk,0.039327566684056126,kaesangp
cpo,0.039327566684056126,kaesangp
share,0.039327566684056126,kaesangp
kalo,0.039327566684056126,kaesangp
bukan,0.039327566684056126,kaesangp
jangan,0.039327566684056126,kaesangp
nasi,0.039327566684056126,kaesangp
ngegas,0.039327566684056126,kaesangp
udah,0.039327566684056126,kaesangp
lagi,0.039327566684056126,kaesangp
ini,0.039327566684056126,kaesangp
serok,0.039327566684056126,kaesangp
semua,0.039327566684056126,kaesangp
tahun,0.039327566684056126,kaesangp
semangat,0.039327566684056126,kaesangp
disc,0.039327566684056126,kaesangp
hari,0.039327566684056126,kaesangp
hmm,0.039327566684056126,kaesangp
hepi,0.039327566684056126,kaesangp
sampe,0.039327566684056126,kaesangp
kami,0.02621837778937075,kaesangp
kita,0.02621837778937075,kaesangp
keren,0.02621837778937075,kaesangp
juta,0.02621837778937075,kaesangp
ipo,0.02621837778937075,kaesangp
tuh,0.02621837778937075,kaesangp
hubungannya,0.02621837778937075,kaesangp
ihsg,0.02621837778937075,kaesangp
jadi,0.02621837778937075,kaesangp
ikut,0.02621837778937075,kaesangp
